Title,Creator,Verified_Status,Watch_Count,Tags,Description
"BIFF, posibleng nasa likod ng pag-ambush sa mga pulis sa Maguindanao – PNP",UNTV News and Rescue,Verified,684K views,"[""New""]","
        
          
          Iniimbestigahan na ng mga otoridad ang posibleng kaugnayan ng Bangsamoro Islamic Freedom Fighter (BIFF) sa nangyaring ...
        
        Iniimbestigahan na ng mga otoridad ang posibleng kaugnayan ng Bangsamoro Islamic Freedom Fighter (BIFF) sa nangyaring ...
        
  From the video description


      "
Black hole సౌండ్ ని రికార్డ్ చేసిన Nasa 😲 || Real black hole sound in telugu || T Facts Telugu ||,T Facts Telugu,Verified,543K views,"[""New""]","
        
          
          Black hole సౌండ్ ని రికార్డ్ చేసిన Nasa || Real black hole sound in telugu || T Facts Telugu || #shorts ...
        
        Black hole సౌండ్ ని రికార్డ్ చేసిన Nasa || Real black hole sound in telugu || T Facts Telugu || #shorts ...
        
  From the video description


      "
우주에서 바라본 거대한 힌남노...NASA 공개 / YTN," YTN",Verified,479K views,"[""New""]","
        
          
          미 항공우주국, NASA가 우주에서 촬영한 거대한 태풍 힌남노의 모습을 사진을 공개했습니다. NASA 지구관측소는 홈페이지에서 4 ...
        
        미 항공우주국, NASA가 우주에서 촬영한 거대한 태풍 힌남노의 모습을 사진을 공개했습니다. NASA 지구관측소는 홈페이지에서 4 ...
        
  From the video description


      "
"Eroplano, ilang oras nasa himpapawid; piloto, 'di marunong mag-landing | GMA News Feed",GMA News,Verified,313K views,"[""New""]","
        
          
          Inumaga na sa himpapawid ang isang eroplano sa Mississippi sa Amerika. Natuklasan na ang eroplano, ninakaw lang pala ng ...
        
        Inumaga na sa himpapawid ang isang eroplano sa Mississippi sa Amerika. Natuklasan na ang eroplano, ninakaw lang pala ng ...
        
  From the video description


      "
NASA Milk Revealed - #magic #magician #illusion #learnmagic,outofthehat,Verified,300K views,"[""New""]","
        
          0:08
          This is milk being formulated by nasa it will allow astronauts to enjoy their favorite cereal while blasting into space without spilling ...
        
        This is milk being formulated by nasa it will allow astronauts to enjoy their favorite cereal while blasting into space without spilling ...
        
  Automatic captions


      "
"An Update on Our Artemis I Moon Mission on This Week @NASA – September 2, 2022",NASA,Verified,282K views,"[""New"",""CC""]","
        
          
          An update on our Artemis I Moon mission, a first for our James Webb Space Telescope, and a new target launch date for the next ...
        
        An update on our Artemis I Moon mission, a first for our James Webb Space Telescope, and a new target launch date for the next ...
        
  From the video description


      "
When A Demon Is At N.A.S.A🤯🚀👹 #shorts #christian #jesus,Kaden Pody 💎,Verified,198K views,"[""New""]","
        
          0:00
          Nasa does not want christians to know this watch till the end group is threatening to file a lawsuit against nasa because johnson ...
        
        Nasa does not want christians to know this watch till the end group is threatening to file a lawsuit against nasa because johnson ...
        
  Automatic captions


      "
[자막뉴스] 우주에서 바라본 '힌남노'...NASA 촬영본 공개 / YTN," YTN",Verified,172K views,"[""New""]","
        
          
          미 항공우주국, NASA가 우주에서 촬영한 거대한 태풍 힌남노의 모습을 사진을 공개했습니다. NASA 지구관측소는 홈페이지에서 4 ...
        
        미 항공우주국, NASA가 우주에서 촬영한 거대한 태풍 힌남노의 모습을 사진을 공개했습니다. NASA 지구관측소는 홈페이지에서 4 ...
        
  From the video description


      "
Agora a NASA vem,Eu na ObRA,Verified,131K views,"[""New""]",
Artemis Live! Watch NASA's new Moon rocket at the launch pad,Spaceflight Now,Verified,40 watching,"[""LIVE"",""New""]","
        
          
          Watch a live view from the Kennedy Space Center as NASA prepares its Artemis 1 moon rocket for launch on its inaugural flight.
        
        Watch a live view from the Kennedy Space Center as NASA prepares its Artemis 1 moon rocket for launch on its inaugural flight.
        
  From the video description


      "
